 # time [a.u.]         RMT-1           RMT-3           RMT-6          SAE
 6.00000000E+00  3.48595373E-05  3.33377542E-05  3.32894609E-05  3.64148335E-05
 6.10000000E+00  3.52796008E-05  3.37415007E-05  3.36951754E-05  3.68764121E-05
 6.20000000E+00  3.56241624E-05  3.40731315E-05  3.40289840E-05  3.72590292E-05
 6.30000000E+00  3.58895552E-05  3.43291356E-05  3.42873692E-05  3.75587418E-05
 6.40000000E+00  3.60722322E-05  3.45061175E-05  3.44669284E-05  3.77717474E-05
 6.50000000E+00  3.61687762E-05  3.46008058E-05  3.45643814E-05  3.78943922E-05
 6.60000000E+00  3.61759107E-05  3.46100630E-05  3.45765814E-05  3.79231776E-05
 6.70000000E+00  3.60905110E-05  3.45308956E-05  3.45005242E-05  3.78547670E-05
 6.80000000E+00  3.59096126E-05  3.43604618E-05  3.43333561E-05  3.76859908E-05
 6.90000000E+00  3.56304159E-05  3.40960751E-05  3.40723778E-05  3.74138508E-05
 7.00000000E+00  3.52502859E-05  3.37352054E-05  3.37150456E-05  3.70355241E-05
 7.10000000E+00  3.47667488E-05  3.32754746E-05  3.32589672E-05  3.65483655E-05
 7.20000000E+00  3.41774897E-05  3.27146554E-05  3.27019012E-05  3.59499100E-05
 7.30000000E+00  3.34803556E-05  3.20506738E-05  3.20417590E-05  3.52378737E-05
 7.40000000E+00  3.26733550E-05  3.12816091E-05  3.12766059E-05  3.44101542E-05
 7.50000000E+00  3.17546544E-05  3.04056904E-05  3.04046571E-05  3.34648303E-05
 7.60000000E+00  3.07225773E-05  2.94212960E-05  2.94242782E-05  3.24001611E-05
 7.70000000E+00  2.95756083E-05  2.83269578E-05  2.83339883E-05  3.12145841E-05
 7.80000000E+00  2.83124005E-05  2.71213667E-05  2.71324669E-05  2.99067129E-05
 7.90000000E+00  2.69317772E-05  2.58033757E-05  2.58185558E-05  2.84753343E-05
 8.00000000E+00  2.54327265E-05  2.43719942E-05  2.43912542E-05  2.69194043E-05
 8.10000000E+00  2.38143890E-05  2.28263781E-05  2.28497091E-05  2.52380445E-05
 8.20000000E+00  2.20760448E-05  2.11658182E-05  2.11932033E-05  2.34305374E-05
 8.30000000E+00  2.02171024E-05  1.93897307E-05  1.94211471E-05  2.14963211E-05
 8.40000000E+00  1.82370968E-05  1.74976553E-05  1.75330750E-05  1.94349838E-05
 8.50000000E+00  1.61356887E-05  1.54892540E-05  1.55286456E-05  1.72462586E-05
 8.60000000E+00  1.39126636E-05  1.33643103E-05  1.34076399E-05  1.49300164E-05
 8.70000000E+00  1.15679322E-05  1.11227293E-05  1.11699613E-05  1.24862604E-05
 8.80000000E+00  9.10153064E-06  8.76453753E-06  8.81563528E-06  9.91511908E-06
 8.90000000E+00  6.51361477E-06  6.28987778E-06  6.34480453E-06  7.21683927E-06
 9.00000000E+00  3.80444932E-06  3.69899943E-06  3.75771901E-06  4.39177959E-06
 9.10000000E+00  9.74396134E-07  9.92247256E-07  1.05472494E-06  1.44040330E-06
 9.20000000E+00 -1.97609507E-06 -1.82994728E-06 -1.76374392E-06 -1.63672869E-06
 9.30000000E+00 -5.04649437E-06 -4.76707339E-06 -4.69717369E-06 -4.83896478E-06
 9.40000000E+00 -8.23620076E-06 -7.81854986E-06 -7.74497916E-06 -8.16556960E-06
 9.50000000E+00 -1.15445480E-05 -1.09837310E-05 -1.09065098E-05 -1.16157309E-05
 9.60000000E+00 -1.49708065E-05 -1.42619091E-05 -1.41810522E-05 -1.51885660E-05
